"code_id","orderid","itemid","nama_pengguna","produk","review","rating","waktu_transaksi"
"10212067482_1725790117_511435755",178986325200875,10212067482,asdfghjklwisb,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-08 17:08:00"
"10212067482_1725796548_546422076",179217225236452,10212067482,deryhendriana52,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-08 18:55:00"
"10212067482_1725814863_1089553215",177343527275857,10212067482,"7or1iepld0",Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-09 00:01:00"
"10212067482_1725816162_1351191798",179154297292021,10212067482,mariskaputri541,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"Kompatibilitas:mio
Keaslian:ori
Desain:baguss

Nicee marketing",5,"2024-09-09 00:22:00"
"10212067482_1725818003_385357705",179193966224954,10212067482,bpm_official01,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-09 00:53:00"
"10212067482_1725874978_266662835",179421043281776,10212067482,sultanali22,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",4,"2024-09-09 16:42:00"
"10320505401_1725894393_1291553599",177082506298542,10320505401,uuaq0phobj,"Baut probolt 6x15 PAYUNG atau baut drat 10 panjang 1,5cm model payung stainless original heng thailand","",5,"2024-09-09 22:06:00"
"10320505401_1725898116_921518737",178099763294807,10320505401,idrishabi,"Baut probolt 6x15 PAYUNG atau baut drat 10 panjang 1,5cm model payung stainless original heng thailand","",4,"2024-09-09 23:08:00"
"10620500189_1725456992_476751882",178978494226990,10620500189,muhammadaris12343,"Baut probolt 8x25 atau uk 12 panjang 2,5cm model 2kunci Hexagon stainless original HENG  thailand","",5,"2024-09-04 20:36:00"
"10620500189_1725506363_271261965",179042407225329,10620500189,g*****_,"Baut probolt 8x25 atau uk 12 panjang 2,5cm model 2kunci Hexagon stainless original HENG  thailand","",5,"2024-09-05 10:19:00"
"10620500189_1725532301_790798272",178988513272748,10620500189,abahdika,"Baut probolt 8x25 atau uk 12 panjang 2,5cm model 2kunci Hexagon stainless original HENG  thailand","",5,"2024-09-05 17:31:00"
"11408539678_1725772522_234229972",179218805236934,11408539678,firdaussmalikk,Spion yamaha x1 / sepion yamaha 125z original yamaha,"",5,"2024-09-08 12:15:00"
"11408539678_1725867109_339640767",179422208250851,11408539678,t*****r,Spion yamaha x1 / sepion yamaha 125z original yamaha,"",4,"2024-09-09 14:31:00"
"11661096510_1725884960_219598656",177064495209564,11661096510,dava123569,Baut probolt M 4x15 stainless drat 6 halus untuk tutup master rem model 2kunci HEXAGON original HENG THAILAND,"Kompatibilitas:mantap baut original
Keaslian:asli 1000000
Desain:keren

toko andalan, next beli baut apapun disini",5,"2024-09-09 19:29:00"
"12469181477_1725800987_448278160",179322548240774,12469181477,"7gdd_w4fwt",Mur probolt m6 atau mur drat 10 stainlis heng thailand,"",3,"2024-09-08 20:09:00"
"12531211949_1725552067_958603026",179108188292613,12531211949,riicooo,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",5,"2024-09-05 23:01:00"
"12531211949_1725674801_971197433",171306958283143,12531211949,sagariaria,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",5,"2024-09-07 09:06:00"
"12531211949_1725719129_650812656",178877135291980,12531211949,aparik838,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",5,"2024-09-07 21:25:00"
"12531211949_1725741606_332280423",178363578299247,12531211949,khaira010895,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",5,"2024-09-08 03:40:00"
"12531211949_1725841773_1128543086",179143394200030,12531211949,rizal.guinness_22,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",5,"2024-09-09 07:29:00"
"12531211949_1725875860_1087403544",179459771279002,12531211949,mz4kky,Baut probolt 6x20 drat 10 Stainless model 2kunci Hexagon original HENG thailand,"",4,"2024-09-09 16:57:00"
"12670773511_1725542885_1232799553",179110658259751,12670773511,suburkedung,Boshing as roda depan Vario 125/150 stainlis HENG thailand,"",4,"2024-09-05 20:28:00"
"13099798007_1725633024_786458939",179063519258747,13099798007,wildanshermansyah,Baut Probolt Full CVT Vario 160 Stainless 2kunci Original Heng Thailand,"",4,"2024-09-06 21:30:00"
"13551941648_1725570884_909711815",179223626283982,13551941648,arieridwansyah635,STANDAR SET CHROME NTH BEAT SCOOPY ORIGINAL THAILAND,"",4,"2024-09-06 04:14:00"
"13714498044_1725859171_109627836",179426679274986,13714498044,a*****3,Baut probolt kaliper nepel drat halus kasar stainless model GS1 2kunci  original HENG thailand,"",5,"2024-09-09 12:19:00"
"13831188100_1725449638_215308207",178963712291403,13831188100,rizky_permadi,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-04 18:33:00"
"13831188100_1725545386_162437708",178871464240263,13831188100,ahsanaljaja20,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-05 21:09:00"
"13831188100_1725617894_21978291",179180380297191,13831188100,abayspeed,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-06 17:18:00"
"13831188100_1725623276_209796545",179176894283610,13831188100,bimoadityaramadhan15,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-06 18:47:00"
"13831188100_1725624957_620768625",178983063248756,13831188100,a*****1,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"Kegunaan:Cocok Untuk Baut Body Motor
Keaslian:100% Original Stainless
Ukuran:Pas

Alhamdulillah barangnya telah sampai🤩 ,packingannya rapi dan safety pastinya barang aman🤩 terimakasih kak penjual🙏 dan mas kurir yang senantiasa mengantarkan paket dengan sebaik dan semaksimal mungkin🙏",5,"2024-09-06 19:15:00"
"13831188100_1725625561_54444925",179027100257760,13831188100,m*****m,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,Thanks kak barangnya oke bgt🔥,5,"2024-09-06 19:26:00"
"13831188100_1725627623_10758544",178875397227708,13831188100,fukhaisat,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-06 20:00:00"
"13831188100_1725702007_952949334",179259871253463,13831188100,ilhamptrr8_,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"Kegunaan:cocok untuk berbagai situasi
Keaslian:kualitas original
Ukuran:pas dan sesuai",5,"2024-09-07 16:40:00"
"13831188100_1725777716_1190754108",178978852242597,13831188100,"9q6n031_b1",Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",1,"2024-09-08 13:41:00"
"13831188100_1725790117_511435755",178986325200875,13831188100,asdfghjklwisb,Baut probolt 5x15 Drat 8 Halus model 2KUNCI / Hexagon original HENG thailand,"",5,"2024-09-08 17:08:00"
"14176938384_1725685539_741060018",179057933271139,14176938384,anggaff,Baut probolt CVT vario 125 / 150 2kunci 2 kunci stainless heng thailand,"",5,"2024-09-07 12:05:00"
"14176938384_1725716270_23281679",179324897206775,14176938384,syahrulkamal,Baut probolt CVT vario 125 / 150 2kunci 2 kunci stainless heng thailand,"",5,"2024-09-07 20:37:00"
"14176938384_1725879957_150641905",179456312233597,14176938384,w*****4,Baut probolt CVT vario 125 / 150 2kunci 2 kunci stainless heng thailand,"",5,"2024-09-09 18:05:00"
"14724208462_1725533899_313180228",179126485266227,14724208462,anggershophouse,Baut probolt M 6x20 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-05 17:58:00"
"14745356462_1725534151_509622463",178905461211566,14745356462,anggitsst,Baut dek injek mio fino model spiral hand made stainlis,"",5,"2024-09-05 18:02:00"
"15139712045_1725446681_149347328",178893197228323,15139712045,ahmdriyan10,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-04 17:44:00"
"15139712045_1725447800_1121224470",178942789212884,15139712045,m*****8,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",4,"2024-09-04 18:03:00"
"15139712045_1725451323_89856153",179032821289345,15139712045,yoghi.hardiansyah,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-04 19:02:00"
"15139712045_1725534151_509622463",178905461211566,15139712045,anggitsst,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-05 18:02:00"
"15139712045_1725610530_316227171",179057581299916,15139712045,parandikaprasetyo,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-06 15:15:00"
"15139712045_1725646965_1072954030",179288157284820,15139712045,hoq9nrib0y,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-07 01:22:00"
"15139712045_1725691053_120255701",179229981269157,15139712045,sandykurniawan222,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-07 13:37:00"
"15139712045_1725710910_1123496990",178139271234054,15139712045,nadiaevyta,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"Kegunaan:berguna
Keaslian:asli dari HENG
Kualitas:bagus

terbaik",5,"2024-09-07 19:08:00"
"15139712045_1725774053_329906322",178960805271460,15139712045,adesyahputra1878,Jalu stang/ Bandul stang motif spiral chrome stainless silver original heng thailand,"",5,"2024-09-08 12:40:00"
"15236415526_1725537154_1332921278",179001353282629,15236415526,"9z6p1amt5h",Probolt Mur m8 atau mur drat 12 stainlis HENG thailand,"",5,"2024-09-05 18:52:00"
